"SARPP Regional Price Parities by state"
"(index)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"36000","New York","5","  RPPs: Services: Other",105.013,105.273,103.933,105.412,103.440,104.155,102.576,104.263,105.202,105.287,105.537,106.492,106.340
"37000","North Carolina","1","RPPs: All items",92.970,91.782,93.432,93.992,93.764,94.220,94.256,93.925,94.318,93.681,93.240,92.166,91.840
"37000","North Carolina","2","  RPPs: Goods",96.695,94.372,96.895,96.349,95.544,96.008,95.724,94.922,95.840,95.798,95.863,95.874,95.363
"37000","North Carolina","3","  RPPs: Services: Housing",75.423,75.971,75.964,76.779,76.205,77.229,77.198,76.068,75.748,76.333,75.501,75.509,75.532
"37000","North Carolina","4","  RPPs: Services: Utilities",92.836,95.478,101.266,98.808,97.636,99.031,100.801,103.021,100.117,97.749,100.423,99.179,99.197
"37000","North Carolina","5","  RPPs: Services: Other",97.756,96.615,98.093,99.503,99.821,99.919,100.086,100.352,100.796,99.000,98.040,95.712,95.742
"38000","North Dakota","1","RPPs: All items",86.837,89.394,90.909,90.447,93.810,93.122,93.455,92.781,91.657,90.005,92.548,92.224,92.041
"38000","North Dakota","2","  RPPs: Goods",85.044,90.118,95.022,95.028,95.766,95.738,97.553,97.562,96.246,94.963,94.540,97.051,95.620
"38000","North Dakota","3","  RPPs: Services: Housing",67.227,71.337,72.026,72.791,85.478,82.172,81.256,85.719,84.262,77.861,79.047,71.715,71.847
"38000","North Dakota","4","  RPPs: Services: Utilities",76.711,76.491,73.768,78.121,79.085,84.483,84.020,82.577,80.082,84.065,84.111,81.477,81.489
"38000","North Dakota","5","  RPPs: Services: Other",96.620,96.307,95.685,93.912,95.613,95.079,95.039,92.415,91.725,91.154,95.805,96.447,97.149
"39000","Ohio","1","RPPs: All items",92.513,93.451,93.420,92.402,93.150,93.256,93.188,92.396,92.618,91.983,92.886,93.227,91.690
